Name,Address,City,CountryCode,Weekdays,Start_Hours,Start_Minutes,End_Hour,End_Minutes,Rating
32 Shea,10626 N 32nd St,Phoenix,US,4,12,00,14,30,4.0
32 Shea,10626 N 32nd St,Phoenix,US,4,16,30,00,00,4.0
32 Shea,10626 N 32nd St,Phoenix,US,5,16,30,00,00,4.0
32 Shea,10626 N 32nd St,Phoenix,US,6,16,30,00,00,4.0
360 Bar and Restaurant,"Level 4, Sydney Westfield Centre",Sydney,AU,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated,3.5
369 Oriental Bistro,1009 Westheimer Rd,Houston,US,0,07,00,15,00,4.0
369 Oriental Bistro,1009 Westheimer Rd,Houston,US,1,07,00,15,00,4.0
369 Oriental Bistro,1009 Westheimer Rd,Houston,US,2,07,00,15,00,4.0
369 Oriental Bistro,1009 Westheimer Rd,Houston,US,3,07,00,15,00,4.0
369 Oriental Bistro,1009 Westheimer Rd,Houston,US,4,07,00,15,00,4.0
369 Oriental Bistro,1009 Westheimer Rd,Houston,US,5,07,00,15,00,4.0
369 Oriental Bistro,1009 Westheimer Rd,Houston,US,6,08,00,15,00,4.0
38 Espresso,Lot 2,Kingston,AU,0,12,00,15,00,4.0
38 Espresso,Lot 2,Kingston,AU,0,17,00,21,30,4.0
38 Espresso,Lot 2,Kingston,AU,1,12,00,15,00,4.0
38 Espresso,Lot 2,Kingston,AU,1,17,00,21,30,4.0
38 Espresso,Lot 2,Kingston,AU,2,12,00,15,00,4.0
38 Espresso,Lot 2,Kingston,AU,2,17,00,21,30,4.0
38 Espresso,Lot 2,Kingston,AU,3,12,00,15,00,4.0
38 Espresso,Lot 2,Kingston,AU,3,17,00,21,30,4.0
38 Espresso,Lot 2,Kingston,AU,4,12,00,22,00,4.0
38 Espresso,Lot 2,Kingston,AU,5,12,00,22,00,4.0
38 Espresso,Lot 2,Kingston,AU,6,12,00,21,30,4.0
+39 Pizzeria,362 Lt Bourke St,Melbourne,AU,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated,4.0
39 Steps,5 Sargood St,O'connor,AU,1,17,30,22,00,0.0
39 Steps,5 Sargood St,O'connor,AU,2,17,30,22,00,0.0
39 Steps,5 Sargood St,O'connor,AU,3,17,30,22,00,0.0
39 Steps,5 Sargood St,O'connor,AU,4,17,30,22,00,0.0
39 Steps,5 Sargood St,O'connor,AU,5,17,30,22,00,0.0
3rd Cousin,919 Cortland Ave,San Francisco,US,0,07,00,23,30,4.5
3rd Cousin,919 Cortland Ave,San Francisco,US,1,07,00,23,30,4.5
3rd Cousin,919 Cortland Ave,San Francisco,US,2,07,00,23,30,4.5
3rd Cousin,919 Cortland Ave,San Francisco,US,3,07,00,23,30,4.5
3rd Cousin,919 Cortland Ave,San Francisco,US,4,07,00,23,30,4.5
3rd Cousin,919 Cortland Ave,San Francisco,US,5,08,00,23,30,4.5
3rd Cousin,919 Cortland Ave,San Francisco,US,6,08,00,18,00,4.5
45 Jermyn St,45 Jermyn Street,London,GB,1,12,00,15,00,4.0
45 Jermyn St,45 Jermyn Street,London,GB,1,18,00,00,00,4.0
45 Jermyn St,45 Jermyn Street,London,GB,2,12,00,15,00,4.0
45 Jermyn St,45 Jermyn Street,London,GB,2,18,00,00,00,4.0
45 Jermyn St,45 Jermyn Street,London,GB,3,12,00,15,00,4.0
45 Jermyn St,45 Jermyn Street,London,GB,3,18,00,00,00,4.0
45 Jermyn St,45 Jermyn Street,London,GB,4,12,00,15,00,4.0
45 Jermyn St,45 Jermyn Street,London,GB,4,18,00,00,00,4.0
45 Jermyn St,45 Jermyn Street,London,GB,5,12,00,15,00,4.0
45 Jermyn St,45 Jermyn Street,London,GB,5,18,00,00,00,4.0
45 Jermyn St,45 Jermyn Street,London,GB,6,12,00,18,00,4.0
4Fourteen,414 Bourke St,Surry Hills,AU,0,07,00,14,30,4.0
4Fourteen,414 Bourke St,Surry Hills,AU,1,07,00,14,30,4.0
4Fourteen,414 Bourke St,Surry Hills,AU,2,07,00,14,30,4.0
4Fourteen,414 Bourke St,Surry Hills,AU,3,07,00,14,30,4.0
4Fourteen,414 Bourke St,Surry Hills,AU,4,07,00,14,30,4.0
5 & Dime Bagels,16 Katherine Pl,Melbourne,AU,0,11,00,21,00,4.0
5 & Dime Bagels,16 Katherine Pl,Melbourne,AU,1,11,00,21,00,4.0
5 & Dime Bagels,16 Katherine Pl,Melbourne,AU,2,11,00,21,00,4.0
5 & Dime Bagels,16 Katherine Pl,Melbourne,AU,3,11,00,21,00,4.0
5 & Dime Bagels,16 Katherine Pl,Melbourne,AU,4,11,00,22,00,4.0
