Publish_Dates,Mains,Sources,Document_Types,Web_Urls,New_Desks,Section_Names,Snippets
2017-02-07,John Oliver Returns: ‘I’m Not a Complete Nihilist’,The New York Times,article,http://www.nytimes.com/2017/02/07/arts/television/john-oliver-returns-im-not-a-complete-nihilist.html,Culture,Arts,"Mr. Oliver, whose “Last Week Tonight” begins its fourth season on Sunday, discusses his trans-Atlantic outlook on Trump and the new administration...."
2017-02-07,Daily Report: Dizzying Regulatory Changes for Tech Industry,The New York Times,article,http://www.nytimes.com/2017/02/07/technology/daily-report-dizzying-regulatory-changes-for-tech-industry.html,Business,Technology,"The tech industry is bracing for overhauls from the Trump administration, including a new F.C.C. chairman and possible adjustments in H-1Bs...."
2017-02-07,"Woman Was Thrown Into Ocean, Autopsy Says, in Murder That Shook Iceland",The New York Times,article,http://www.nytimes.com/2017/02/07/world/europe/iceland-murder-victim-birna-brjansdottir-autopsy.html,Foreign,World,"A leaked autopsy report in the rare killing says that Birna Brjansdottir was alive when she was thrown, but it was not clear if the killer knew that or if she was conscious...."
2017-02-07,The Court Arguments on Trump’s Travel Ban: What You Need to Know,The New York Times,article,http://www.nytimes.com/2017/02/07/us/politics/trump-travel-ban-court.html,National,U.S.,A federal appeals court will live stream audio of arguments on President Trump’s order that suspended travel from seven mostly Muslim countries....
2017-02-07,Yotam Ottolenghi: Eat Your Sugar,The New York Times,article,http://www.nytimes.com/2017/02/07/dining/yotam-ottolenghi-baking-granita-kataifi.html,Dining,Food,"In his new baking column for The New York Times, the chef and cookbook author revels in the joy of a daily treat...."
2017-02-07,What to Read About Last Night’s Shocking ‘Jane the Virgin’ Twist,The New York Times,article,http://www.nytimes.com/2017/02/07/watching/jane-the-virgin-michael-twist-chapter-54.html,Watching,Watching,Spoilers lie ahead....
2017-02-07,Betsy DeVos Confirmed as Education Secretary; Pence Breaks Tie,The New York Times,article,http://www.nytimes.com/2017/02/07/us/politics/betsy-devos-education-secretary-confirmed.html,National,U.S.,The vote on Tuesday was believed to be the first in Senate history in which the vice president was called in to break a tie on a cabinet nomination....
2017-02-07,Trump Plan to Visit U.K. Sets Off Political Dispute,The New York Times,article,http://www.nytimes.com/2017/02/07/world/europe/trump-plan-to-visit-britain-sets-off-political-dispute.html,Foreign,World,"The speaker of the House of Commons, John Bercow, said Mr. Trump should not address Parliament, but other Conservative lawmakers disagreed...."
2017-02-07,One-Third Don’t Know Obamacare and Affordable Care Act Are the Same,The New York Times,article,http://www.nytimes.com/2017/02/07/upshot/one-third-dont-know-obamacare-and-affordable-care-act-are-the-same.html,National,The Upshot,"A survey finds confusion, particularly among groups most likely to be affected by the repeal of the health law...."
2017-02-07,Recent Commercial Real Estate Transactions,The New York Times,article,http://www.nytimes.com/2017/02/07/realestate/commercial/recent-commercial-real-estate-transactions.html,Business,Real Estate,Recent commercial real estate transactions in New York City....
2017-02-07,How to Save iPhone Voice Mail Messages,The New York Times,article,http://www.nytimes.com/2017/02/07/technology/personaltech/saving-iphone-voice-mail-messages.html,Business,Technology,Recent versions of Apple’s mobile operating system let you archive a voice mail message on your iPhone as an audio file....
2017-02-07,Nicolas Sarkozy Ordered to Stand Trial Over Campaign Finances,The New York Times,article,http://www.nytimes.com/2017/02/07/world/europe/nicolas-sarkozy-trial-france.html,Foreign,World,"The former president, accused of spending more than the legal limit on his 2012 campaign, was expected to appeal...."
2017-02-07,How Senators Voted on Betsy DeVos,The New York Times,multimedia,http://www.nytimes.com/interactive/2017/02/07/us/politics/betsy-devos-confirmation-vote.html,U.S. / Politics,U.S.,The Senate voted to confirm Betsy DeVos as education secretary....
2017-02-07,"Fashion Shows Adopted a See-Now, Buy-Now Model. Has It Worked?",The New York Times,article,http://www.nytimes.com/2017/02/07/fashion/see-now-buy-now-business-fashion-week.html,Styles,Fashion & Style,"Last season a group of global brands declared the old show system dead and decided to try something new. Six months later, the verdict is unclear...."
2017-02-07,"No Data Manipulation in 2015 Climate Study, Researchers Say",The New York Times,article,http://www.nytimes.com/2017/02/07/science/2015-climate-study-data.html,National,Science,A British tabloid said American government scientists overstated global temperatures to influence climate talks. Other scientists say that did not happen....
2017-02-07,30-Year Sentence for Man Who Burned Florida Mosque Attended by Omar Mateen,The New York Times,article,http://www.nytimes.com/2017/02/07/us/mosque-fire-florida.html,National,U.S.,"Joseph Schreiber told detectives that he set fire to the Islamic Center of Fort Pierce, where the Pulse nightclub gunman had prayed...."
2017-02-07,President Duterte Is Repeating My Mistakes,The New York Times,article,http://www.nytimes.com/2017/02/07/opinion/president-duterte-is-repeating-my-mistakes.html,OpEd,Opinion,"When I was president of Colombia, I learned that a “war on drugs’’ is unwinnable...."
2017-02-07,Bombing Near Afghan Supreme Court in Kabul Kills and Wounds Dozens,The New York Times,article,http://www.nytimes.com/2017/02/07/world/asia/afghanistan-suicide-bombing-supreme-court.html,Foreign,World,Witnesses said a suicide bomber walked up to the entrance of the court as workers were leaving and set off his explosives. No one has claimed responsibility....
